sourceid,dstid,dow,mean_travel_time,standard_deviation_travel_time,geometric_mean_travel_time,geometric_standard_deviation_travel_time
706,157,7,771.58,346.93,710.63,1.48
702,197,7,1619.37,434.59,1565.36,1.29
707,147,7,1549.21,536.21,1478.0,1.34
1100,826,3,1481.63,524.21,1409.49,1.36
703,187,7,1568.33,476.01,1497.79,1.36
1152,306,3,2251.9,617.8,2175.4,1.29
944,742,1,2203.27,837.42,2087.97,1.36
1141,416,3,2094.83,540.69,2021.63,1.31
1160,226,3,2041.34,908.02,1869.38,1.52
927,912,1,1190.01,424.51,1124.29,1.39
1120,626,3,1786.69,1060.15,1568.69,1.62
953,652,1,2221.21,891.93,2068.55,1.45
922,710,2,2297.65,924.51,2101.99,1.54
960,330,2,2527.55,1042.57,2309.53,1.54
487,982,3,1856.79,615.67,1766.63,1.36
951,420,2,715.83,399.06,625.67,1.68
498,872,3,2089.2,1052.33,1894.92,1.53
953,400,2,2379.95,929.13,2222.84,1.44
489,962,3,1929.23,786.19,1793.08,1.45
962,310,2,2408.41,905.1,2241.05,1.47
638,72,3,1876.56,533.54,1805.39,1.32
981,120,2,1828.89,841.92,1656.26,1.56
992,262,1,2069.11,788.85,1923.9,1.47
903,900,2,341.25,223.11,292.27,1.73
931,620,2,1934.85,673.53,1821.05,1.42
952,410,2,2154.18,803.21,2039.98,1.37
963,300,2,3406.06,422.68,3380.36,1.13
980,130,2,780.66,376.9,714.12,1.5
299,1155,3,1013.53,497.84,913.22,1.57
923,700,2,1138.39,438.58,1064.08,1.44
952,662,1,2179.27,699.96,2075.75,1.36
904,11,6,1533.36,509.79,1455.71,1.38
765,801,6,666.07,330.96,605.14,1.53
783,621,6,533.0,276.71,471.07,1.77
161,493,3,2611.77,916.56,2452.56,1.43
